collection_date,sticker,companyName,date,currentAssets_cash_and_cash_equivalents,currentAssets_cash_and_due_from_banks,currentAssets_short_term_investments,currentAssets_total_cash,currentAssets_inventories,currentAssets_deposits,currentAssets_derivative_assets,currentAssets_accumulated_other_comprehensive_income,currentAssets_trading_assets,currentAssets_other_current_assets,currentAssets_total_current_assets,nonCurrentAssets_land,nonCurrentAssets_fixtures_and_equipment,nonCurrentAssets_other_properties,nonCurrentAssets_property_and_equipment,nonCurrentAssets_property_and_equipment_at_cost,nonCurrentAssets_property_and_equipment_net,nonCurrentAssets_real_estate_properties,nonCurrentAssets_real_estate_properties_net,nonCurrentAssets_accumulated_depreciation,nonCurrentAssets_goodwill,nonCurrentAssets_intangible_assets,nonCurrentAssets_other_intangible_assets,nonCurrentAssets_deferred_revenues,nonCurrentAssets_receivables,nonCurrentAssets_premiums_and_other_receivables,nonCurrentAssets_unearned_premiums,nonCurrentAssets_prepaid_expenses,nonCurrentAssets_general_partner,nonCurrentAssets_minority_interest,nonCurrentAssets_net_loans,nonCurrentAssets_investments,nonCurrentAssets_equity_and_other_investments,nonCurrentAssets_other_long_term_assets,nonCurrentAssets_total_non_current_assets,other_assets,total_assets,currentLiabilities_accounts_payable,currentLiabilities_payables_and_accrued_expenses,currentLiabilities_short_term_debt,currentLiabilities_short_term_borrowing,currentLiabilities_capital_leases,currentLiabilities_taxes_payable,currentAssets_derivative_liabilities,currentLiabilities_other_current_liabilities,currentLiabilities_total_current_liabilities,nonCurrentLiabilities_accrued_liabilities,nonCurrentLiabilities_debt_securities,nonCurrentLiabilities_long_term_debt,nonCurrentLiabilities_capital_leases,nonCurrentLiabilities_deferred_taxes_liabilities,nonCurrentAssets_deferred_income_taxes,nonCurrentLiabilities_pensions_and_other_benefits,nonCurrentLiabilities_other_long_term_liabilities,nonCurrentLiabilities_total_non_current_liabilities,other_liabilities,total_liabilities,stockholdersEquity_additional_paid_in_capital,stockholdersEquity_retained_earnings,stockholdersEquity_treasurey_stock,stockholdersEquity_preferred_stock,stockholdersEquity_common_stock,total_stockholders_equity,total_liabilities_and_stockholders_equity
20180209,ETE,NATIONAL BANK (CR),2015-12-01 00:00:00,,1436.0,,,,67564.0,3895.0,-2994.0,2484.0,,,,,,1433.0,,,,,,10.0,,145.0,,476.0,,,,,,43221.0,,,,,28871.0,99932.0,,,,,,,4641.0,,,,15519.0,3639.0,,,,,,,25776.0,104294.0,21740.0,-25851.0,-1.0,,2744.0,-4362.0,99932.0
20180209,ETE,NATIONAL BANK (CR),2016-12-01 00:00:00,,822.0,,,,53451.0,4482.0,150.0,1879.0,,,,,,1414.0,,,,,,6.0,,136.0,,192.0,,,,,,39399.0,,,,,7352.0,70342.0,,,,,,,5171.0,,,,12455.0,988.0,,,,,,,5202.0,71860.0,21740.0,-26151.0,-1.0,,2744.0,-1518.0,70342.0
20180209,EUPIC,EUROPEAN RELIANCE INSUR. (CR),2012-12-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180209,EUPIC,EUROPEAN RELIANCE INSUR. (CR),2013-12-01 00:00:00,9.0,,,,,,,46.0,,,,,,,19.0,,,,,,0.0,,,,,,,,,,,,,,,272.0,300.0,,,,,,3.0,,,,,,,,,,,,,240.0,243.0,,12.0,,,,58.0,300.0
20180209,EUPIC,EUROPEAN RELIANCE INSUR. (CR),2014-12-01 00:00:00,9.0,,,,,,,49.0,,,,,,,19.0,,,,,,0.0,,,,,,,,,,,,,,,302.0,330.0,,,,,,1.0,,,,,,,,,,,,,259.0,260.0,,21.0,,,,70.0,330.0
20180209,EUPIC,EUROPEAN RELIANCE INSUR. (CR),2015-12-01 00:00:00,16.0,,,,,,,50.0,,,,,,,18.0,,,,,,1.0,,,,,,39.0,,,,,,,,,321.0,356.0,,,,,,0.0,,,,,,,,,,,,,236.0,276.0,,30.0,,,,80.0,356.0
20180209,EUPIC,EUROPEAN RELIANCE INSUR. (CR),2016-12-01 00:00:00,26.0,,,,,,,34.0,,,,,,,18.0,,,,,,1.0,,,,,,,,,,,,,,,343.0,388.0,,,,,,1.0,,,,,,,,,,,,,292.0,293.0,19.0,42.0,,,,95.0,388.0
20180209,EUROB,EUROBANK ERGASIAS (CR),2012-12-01 00:00:00,,2065.0,,,,59799.0,1888.0,-3700.0,,,,,,,1306.0,,,,,,,,406.0,,,,,,,,47864.0,,,,,14124.0,67653.0,,,,,,,2677.0,,,,,,,,,,,,6109.0,68585.0,1451.0,,,1317.0,,-932.0,67653.0
20180209,EUROB,EUROBANK ERGASIAS (CR),2013-12-01 00:00:00,,1986.0,,,,51727.0,1264.0,-3454.0,,,,,,,770.0,,,,,,,,266.0,,,,,,,,48177.0,,,,,25123.0,77586.0,,,,,,,1558.0,,,,,,,,,,,,20136.0,73421.0,6669.0,,,950.0,,4165.0,77586.0
20180209,EUROB,EUROBANK ERGASIAS (CR),2014-12-01 00:00:00,,1948.0,,,,51134.0,2134.0,-2150.0,,,,,,,702.0,,,,,,,,150.0,,,,,,,,45192.0,,,,,25392.0,75518.0,,,,,,,2475.0,,,,,,,,,,,,16350.0,69959.0,6682.0,,,1027.0,,5559.0,75518.0
20180209,EUROB,EUROBANK ERGASIAS (CR),2015-12-01 00:00:00,,1798.0,,,,31515.0,1884.0,-2542.0,,,,,,,666.0,,,,,,,,127.0,,,,,,,,42701.0,,,,,26377.0,73553.0,,,,,,,2359.0,,,,,,,,,,,,33216.0,67090.0,8055.0,,,950.0,,6463.0,73553.0
20180209,EUROB,EUROBANK ERGASIAS (CR),2016-12-01 00:00:00,,4236.0,,,,34174.0,1980.0,-2333.0,,,,,,,638.0,,,,,,,,145.0,,,,,,,,39058.0,,,,,20336.0,66393.0,,,,,,,2441.0,,,,,,,,,,,,23063.0,59678.0,8055.0,,,993.0,,6715.0,66393.0
20180209,EUROM,EUROMEDICA SA (CR),2012-12-01 00:00:00,7.0,,0.0,7.0,3.0,,,-39.0,,199.0,209.0,,,,,469.0,355.0,,,-115.0,,29.0,,,,,,,,61.0,,,,19.0,406.0,,615.0,,,,,,15.0,,367.0,524.0,,,,142.0,19.0,3.0,,58.0,138.0,,662.0,,,-8.0,,,-47.0,615.0
20180209,EUROM,EUROMEDICA SA (CR),2013-12-01 00:00:00,9.0,,0.0,9.0,3.0,,,-92.0,,126.0,138.0,,,,,463.0,335.0,,,-128.0,,25.0,,,,,,,,54.0,,,,21.0,382.0,,520.0,,,,,,15.0,,298.0,479.0,,,,165.0,10.0,,,76.0,141.0,,620.0,,,-8.0,,,-100.0,520.0
20180209,EUROM,EUROMEDICA SA (CR),2014-12-01 00:00:00,6.0,,0.0,6.0,3.0,,,-151.0,,97.0,106.0,,,,,462.0,320.0,,,-142.0,,25.0,,,,,,,,44.0,,,,17.0,363.0,,469.0,,,,,,11.0,,267.0,493.0,,,,215.0,25.0,,,67.0,136.0,,628.0,,,-8.0,,,-159.0,469.0
20180209,EUROM,EUROMEDICA SA (CR),2015-12-01 00:00:00,8.0,,0.0,8.0,2.0,,,100.0,,82.0,92.0,,,,,462.0,309.0,,,-153.0,,23.0,,,,,,,,41.0,,,,16.0,347.0,,439.0,,,,,,12.0,,210.0,525.0,,,,303.0,27.0,,,60.0,127.0,,652.0,,-304.0,-8.0,,,-213.0,439.0
20180209,EUROM,EUROMEDICA SA (CR),2016-12-01 00:00:00,11.0,,0.0,11.0,2.0,,,82.0,,71.0,84.0,,,,,467.0,302.0,,,-165.0,,20.0,,,,,,,,41.0,,,,15.0,337.0,,421.0,,,,,,12.0,,156.0,533.0,,,,365.0,28.0,,,59.0,128.0,,661.0,,-330.0,-8.0,,17.0,-239.0,421.0
20180209,EXAE,HELLENIC EXCHANGES-A.S.E. (CR),2012-12-01 00:00:00,114.0,,,,,,,-19.0,,,,,,,25.0,,,,,,,,0.0,,,,,,,,,,,,,24.0,164.0,,,,,,0.0,,,,,,,,,,,,,8.0,12.0,94.0,-75.0,,,153.0,153.0,164.0
20180209,EXAE,HELLENIC EXCHANGES-A.S.E. (CR),2013-12-01 00:00:00,163.0,,,,,,,-5.0,,,,,,,24.0,,,,,,,,2.0,,,,,,,,,,,,,28.0,218.0,,,,,,20.0,,,,,,,,,,,,,13.0,37.0,94.0,-89.0,,,181.0,181.0,218.0
20180209,EXAE,HELLENIC EXCHANGES-A.S.E. (CR),2014-12-01 00:00:00,152.0,,,,,,,-79.0,,,,,,,23.0,,,,,,,,4.0,,,,,,,,,,,,,132.0,310.0,,,,,,3.0,,,,,,,,,,,,,115.0,121.0,44.0,35.0,,,189.0,189.0,310.0
20180209,EXAE,HELLENIC EXCHANGES-A.S.E. (CR),2015-12-01 00:00:00,137.0,,,,,,,-30.0,,,,,,,23.0,,,,,,,,5.0,,,,,,,,,,,,,479.0,645.0,,,,,,,,,,,,,,,,,,,465.0,467.0,0.0,30.0,,,178.0,178.0,645.0
20180209,EXAE,HELLENIC EXCHANGES-A.S.E. (CR),2016-12-01 00:00:00,100.0,,,,,,,0.0,,,,,,,23.0,,,,,,,,5.0,,,,,,,,,,,,,231.0,360.0,,,,,,,,,,,,,,,,,,,217.0,219.0,0.0,18.0,-19.0,,141.0,141.0,360.0
20180209,EYAPS,THESSALONIKA WATER & SEWERAGE,2012-12-01 00:00:00,33.0,,,33.0,2.0,,,28.0,,65.0,100.0,,,,,133.0,88.0,,,-45.0,,0.0,,,,,,,,,,,,1.0,92.0,,191.0,,,0.0,,,5.0,,25.0,29.0,,,,,,3.0,,29.0,29.0,,59.0,3.0,64.0,,,41.0,136.0,194.0
20180209,EYAPS,THESSALONIKA WATER & SEWERAGE,2013-12-01 00:00:00,54.0,,,54.0,2.0,,,29.0,,48.0,103.0,,,,,131.0,81.0,,,-49.0,,0.0,,,,,,,,,,,,2.0,88.0,,192.0,,,,,,8.0,,14.0,21.0,,,,,,6.0,,27.0,27.0,,48.0,3.0,71.0,,,41.0,143.0,192.0
